SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, 0.0000, 0, 1.00023639, -0.07614566, 0.08684288, 2.13765287, 1.62133873, 0.04648279, 80.73662567, -3.77082729, 87.40134430, 131.72634888, 83.18260956, 82.37436676, 0.62907171, -0.33488059, -0.65372699, 0.25448936, -0.00729886, -0.01246216, -0.00795220, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0100, 1, 0.99453169, -0.07698058, 0.08302046, 1.51655531, 1.35445237, -0.32767746, 79.42121887, -3.42005253, 87.28441620, 131.84416199, 83.17602539, 82.47776031, 0.62894291, -0.33497521, -0.65377724, 0.25455430, -0.00161155, -0.01157015, -0.00384757, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0200, 2, 0.99487609, -0.08025048, 0.07822220, 0.75226861, 1.51601863, -0.66171104, 77.93042755, -4.09237051, 87.31365204, 131.98280334, 83.17082214, 82.60981750, 0.62881970, -0.33501244, -0.65386301, 0.25458920, -0.00196722, -0.00819542, 0.00120891, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0300, 3, 0.99862635, -0.08062232, 0.08615881, -1.57248425, 1.47608590, -0.97484887, 79.30429840, -3.59543991, 87.54750061, 132.20863342, 83.16918945, 82.85893250, 0.62870955, -0.33483899, -0.65409195, 0.25450125, -0.00572528, -0.00764074, -0.00642705, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0400, 4, 0.99441803, -0.07438664, 0.08417146, -3.24034476, 1.17887175, -1.40909350, 79.30429840, -3.59543991, 87.54750061, 132.32820129, 83.17165375, 83.01198578, 0.62870562, -0.33460701, -0.65426975, 0.25435919, -0.00151384, -0.01359723, -0.00417120, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0500, 5, 0.99153346, -0.08351085, 0.09026185, -2.62308383, 1.66849446, -2.16413665, 80.67816162, -4.44314528, 87.48903656, 132.52677917, 83.17633820, 83.23841095, 0.62863886, -0.33437654, -0.65448260, 0.25427938, 0.00137953, -0.00418452, -0.01005357, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0600, 6, 0.99266779, -0.07453553, 0.10100482, -3.52984405, 1.85025287, -2.67309976, 78.89505768, -5.52470016, 87.57672882, 132.75668335, 83.18349457, 83.50552368, 0.62857682, -0.33407125, -0.65474039, 0.25417042, 0.00025751, -0.01277554, -0.02053049, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0000, 0, -0.18753880, -0.96243519, -0.06592359, -15.83526611, -4.55581093, 7.49852943, -57.46857452, -30.19584846, -71.58725739, 90.93141174, -6.72985792, 82.05787659, -0.50069541, 0.56383932, 0.43606970, 0.49115452, 0.07085611, -0.03058610, 0.08304712, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0700, 7, 0.99047381, -0.07329386, 0.09756422, -2.84074306, 2.20016718, -3.27288818, 78.63198090, -3.77082729, 87.19672394, 133.04975891, 83.19251251, 83.82927704, 0.62846124, -0.33377719, -0.65501946, 0.25412351, 0.00246903, -0.01353125, -0.01678221, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0800, 8, 0.98947322, -0.08044238, 0.09678909, -2.25680494, 2.35817432, -3.63232231, 79.09967804, -3.44928384, 87.07980347, 133.45709229, 83.20040894, 84.26808929, 0.62826669, -0.33345678, -0.65538079, 0.25409374, 0.00348829, -0.00578791, -0.01559989, 0.00000000, 0.00000000, 0.00000000, 0.00000000
